,team,position,market_value
0,Athletic Bilbao,Attacking Midfield,36000000.0
1,Athletic Bilbao,Central Midfield,34500000.0
2,Athletic Bilbao,Centre-Back,48400000.0
3,Athletic Bilbao,Centre-Forward,32500000.0
4,Athletic Bilbao,Defensive Midfield,3000000.0
5,Athletic Bilbao,Goalkeeper,30000000.0
6,Athletic Bilbao,Left Winger,4000000.0
7,Athletic Bilbao,Left-Back,4200000.0
8,Athletic Bilbao,Right Winger,37000000.0
9,Athletic Bilbao,Right-Back,7300000.0
10,Atlético de Madrid,Attacking Midfield,35000000.0
11,Atlético de Madrid,Central Midfield,115000000.0
12,Atlético de Madrid,Centre-Back,83000000.0
13,Atlético de Madrid,Centre-Forward,55000000.0
14,Atlético de Madrid,Defensive Midfield,25000000.0
15,Atlético de Madrid,Goalkeeper,43500000.0
16,Atlético de Madrid,Left Winger,40000000.0
17,Atlético de Madrid,Left-Back,50000000.0
18,Atlético de Madrid,Right Winger,40000000.0
19,Atlético de Madrid,Right-Back,20000000.0
20,Atlético de Madrid,Second Striker,105000000.0
21,CA Osasuna,Attacking Midfield,6000000.0
22,CA Osasuna,Central Midfield,14400000.0
23,CA Osasuna,Centre-Back,23000000.0
24,CA Osasuna,Centre-Forward,17800000.0
25,CA Osasuna,Defensive Midfield,5000000.0
26,CA Osasuna,Goalkeeper,11100000.0
27,CA Osasuna,Left Winger,24200000.0
28,CA Osasuna,Left-Back,12000000.0
29,CA Osasuna,Right Winger,3000000.0
30,CA Osasuna,Right-Back,7500000.0
31,Celta de Vigo,Attacking Midfield,17000000.0
32,Celta de Vigo,Central Midfield,22000000.0
33,Celta de Vigo,Centre-Back,22000000.0
34,Celta de Vigo,Centre-Forward,21000000.0
35,Celta de Vigo,Defensive Midfield,10000000.0
36,Celta de Vigo,Goalkeeper,5200000.0
37,Celta de Vigo,Left Winger,5000000.0
38,Celta de Vigo,Left-Back,12000000.0
39,Celta de Vigo,Right Winger,8500000.0
40,Celta de Vigo,Right-Back,6000000.0
41,Cádiz CF,Attacking Midfield,5000000.0
42,Cádiz CF,Central Midfield,4000000.0
43,Cádiz CF,Centre-Back,7100000.0
44,Cádiz CF,Centre-Forward,10000000.0
45,Cádiz CF,Defensive Midfield,8800000.0
46,Cádiz CF,Goalkeeper,6800000.0
47,Cádiz CF,Left Winger,7800000.0
48,Cádiz CF,Left-Back,6800000.0
49,Cádiz CF,Right Winger,3200000.0
50,Cádiz CF,Right-Back,5500000.0
51,FC Barcelona,Central Midfield,268000000.0
52,FC Barcelona,Centre-Back,176000000.0
53,FC Barcelona,Centre-Forward,70000000.0
54,FC Barcelona,Defensive Midfield,9000000.0
55,FC Barcelona,Goalkeeper,35700000.0
56,FC Barcelona,Left Winger,100000000.0
57,FC Barcelona,Left-Back,29000000.0
58,FC Barcelona,Right Winger,100000000.0
59,FC Barcelona,Right-Back,26000000.0
60,Getafe CF,Central Midfield,32500000.0
61,Getafe CF,Centre-Back,28800000.0
62,Getafe CF,Centre-Forward,44000000.0
63,Getafe CF,Defensive Midfield,12000000.0
64,Getafe CF,Goalkeeper,9000000.0
65,Getafe CF,Left-Back,8000000.0
66,Getafe CF,Right Winger,6000000.0
67,Getafe CF,Right-Back,4000000.0
68,Girona FC,Attacking Midfield,10300000.0
69,Girona FC,Central Midfield,18000000.0
70,Girona FC,Centre-Back,7800000.0
71,Girona FC,Centre-Forward,13500000.0
72,Girona FC,Defensive Midfield,6600000.0
73,Girona FC,Goalkeeper,2600000.0
74,Girona FC,Left Winger,6500000.0
75,Girona FC,Left-Back,10500000.0
76,Girona FC,Right Winger,4800000.0
