player,position,team,shirt_number,dob,age,height,strong_foot,date_joined,date_contract,market_value
Thibaut Courtois,Goalkeeper,Real Madrid,1,"May 11, 1992",30,2.00m,left,"Aug 9, 2018","Jun 30, 2026",€60.00m
Andriy Lunin,Goalkeeper,Real Madrid,13,"Feb 11, 1999",23,1.91m,right,"Jul 1, 2018","Jun 30, 2024",€2.50m
Éder Militão,Centre-Back,Real Madrid,3,"Jan 18, 1998",24,1.86m,right,"Jul 1, 2019","Jun 30, 2025",€60.00m
David Alaba,Centre-Back,Real Madrid,4,"Jun 24, 1992",30,1.80m,left,"Jul 1, 2021","Jun 30, 2026",€55.00m
Antonio Rüdiger,Centre-Back,Real Madrid,22,"Mar 3, 1993",29,1.90m,right,"Jul 1, 2022","Jun 30, 2026",€40.00m
Nacho Fernández,Centre-Back,Real Madrid,6,"Jan 18, 1990",32,1.80m,right,"Jul 1, 2013","Jun 30, 2023",€7.00m
Jesús Vallejo,Centre-Back,Real Madrid,5,"Jan 5, 1997",25,1.84m,right,"Jul 31, 2015","Jun 30, 2025",€3.00m
Ferland Mendy,Left-Back,Real Madrid,23,"Jun 8, 1995",27,1.80m,left,"Jul 1, 2019","Jun 30, 2025",€40.00m
Daniel Carvajal,Right-Back,Real Madrid,2,"Jan 11, 1992",30,1.73m,right,"Jul 1, 2013","Jun 30, 2025",€18.00m
Álvaro Odriozola,Right-Back,Real Madrid,16,"Dec 14, 1995",26,1.76m,right,"Jul 5, 2018","Jun 30, 2024",€10.00m
Aurélien Tchouameni,Defensive Midfield,Real Madrid,18,"Jan 27, 2000",22,1.88m,right,"Jul 1, 2022","Jun 30, 2028",€80.00m
Federico Valverde,Central Midfield,Real Madrid,15,"Jul 22, 1998",24,1.82m,right,"Jul 1, 2018","Jun 30, 2027",€80.00m
Eduardo Camavinga,Central Midfield,Real Madrid,12,"Nov 10, 2002",19,1.82m,left,"Aug 31, 2021","Jun 30, 2027",€55.00m
Toni Kroos,Central Midfield,Real Madrid,8,"Jan 4, 1990",32,1.83m,right,"Jul 17, 2014","Jun 30, 2023",€20.00m
Dani Ceballos,Central Midfield,Real Madrid,19,"Aug 7, 1996",26,1.79m,right,"Jul 14, 2017","Jun 30, 2023",€14.00m
Luka Modric,Central Midfield,Real Madrid,10,"Sep 9, 1985",37,1.72m,both,"Aug 27, 2012","Jun 30, 2023",€10.00m
Vinicius Junior,Left Winger,Real Madrid,20,"Jul 12, 2000",22,1.76m,right,"Jul 12, 2018","Jun 30, 2024",€120.00m
Eden Hazard,Left Winger,Real Madrid,7,"Jan 7, 1991",31,1.75m,right,"Jul 1, 2019","Jun 30, 2024",€12.00m
Rodrygo,Right Winger,Real Madrid,21,"Jan 9, 2001",21,1.74m,right,"Jul 1, 2019","Jun 30, 2025",€70.00m
Marco Asensio,Right Winger,Real Madrid,11,"Jan 21, 1996",26,1.82m,left,"Jul 1, 2015","Jun 30, 2023",€35.00m
Lucas Vázquez,Right Winger,Real Madrid,17,"Jul 1, 1991",31,1.73m,right,"Jul 2, 2015","Jun 30, 2024",€12.00m
Karim Benzema,Centre-Forward,Real Madrid,9,"Dec 19, 1987",34,1.85m,right,"Jul 9, 2009","Jun 30, 2023",€30.00m
Mariano Díaz,Centre-Forward,Real Madrid,24,"Aug 1, 1993",29,1.80m,right,"Aug 29, 2018","Jun 30, 2023",€4.00m
Marc-André ter Stegen,Goalkeeper,FC Barcelona,1,"Apr 30, 1992",30,1.87m,right,"Jul 1, 2014","Jun 30, 2025",€30.00m
Iñaki Peña,Goalkeeper,FC Barcelona,26,"Mar 2, 1999",23,1.84m,right,"Jan 30, 2022","Jun 30, 2023",€4.20m
Arnau Tenas,Goalkeeper,FC Barcelona,36,"May 30, 2001",21,1.85m,right,-,"Jun 30, 2023",€1.50m
Ronald Araújo,Centre-Back,FC Barcelona,4,"Mar 7, 1999",23,1.88m,right,"Oct 5, 2020","Jun 30, 2026",€60.00m
Jules Koundé,Centre-Back,FC Barcelona,23,"Nov 12, 1998",23,1.78m,right,"Jul 28, 2022","Jun 30, 2027",€60.00m
Andreas Christensen,Centre-Back,FC Barcelona,15,"Apr 10, 1996",26,1.87m,right,"Jul 4, 2022","Jun 30, 2026",€35.00m
Eric García,Centre-Back,FC Barcelona,24,"Jan 9, 2001",21,1.82m,right,"Jul 1, 2021","Jun 30, 2026",€18.00m
Gerard Piqué,Centre-Back,FC Barcelona,3,"Feb 2, 1987",35,1.94m,right,"Jul 1, 2008","Jun 30, 2024",€3.00m
Marcos Alonso,Left-Back,FC Barcelona,17,"Dec 28, 1990",31,1.89m,left,"Sep 1, 2022","Jun 30, 2023",€12.00m
Jordi Alba,Left-Back,FC Barcelona,18,"Mar 21, 1989",33,1.70m,left,"Jul 1, 2012","Jun 30, 2024",€9.00m
Alejandro Balde,Left-Back,FC Barcelona,28,"Oct 18, 2003",19,1.75m,left,"Jul 1, 2022","Jun 30, 2024",€8.00m
Héctor Bellerín,Right-Back,FC Barcelona,2,"Mar 19, 1995",27,1.77m,right,"Sep 1, 2022","Jun 30, 2023",€20.00m
Sergi Roberto,Right-Back,FC Barcelona,20,"Feb 7, 1992",30,1.78m,right,"Jul 1, 2013","Jun 30, 2023",€6.00m
Sergio Busquets,Defensive Midfield,FC Barcelona,5,"Jul 16, 1988",34,1.89m,right,"Jul 1, 2008","Jun 30, 2023",€9.00m
Pedri,Central Midfield,FC Barcelona,8,"Nov 25, 2002",19,1.74m,right,"Sep 2, 2019","Jun 30, 2026",€90.00m
Gavi,Central Midfield,FC Barcelona,30,"Aug 5, 2004",18,1.73m,right,"Jul 1, 2021","Jun 30, 2026",€70.00m
Frenkie de Jong,Central Midfield,FC Barcelona,21,"May 12, 1997",25,1.80m,right,"Jul 1, 2019","Jun 30, 2026",€60.00m
Franck Kessié,Central Midfield,FC Barcelona,19,"Dec 19, 1996",25,1.83m,right,"Jul 4, 2022","Jun 30, 2026",€45.00m
Pablo Torre,Central Midfield,FC Barcelona,32,"Apr 3, 2003",19,1.73m,right,-,"Jun 30, 2026",€3.00m
Ansu Fati,Left Winger,FC Barcelona,10,"Oct 31, 2002",20,1.78m,right,"Sep 23, 2020","Jun 30, 2027",€60.00m
Ferran Torres,Left Winger,FC Barcelona,11,"Feb 29, 2000",22,1.84m,right,"Jan 1, 2022","Jun 30, 2027",€40.00m
Ousmane Dembélé,Right Winger,FC Barcelona,7,"May 15, 1997",25,1.78m,both,"Aug 25, 2017","Jun 30, 2024",€50.00m
Raphinha,Right Winger,FC Barcelona,22,"Dec 14, 1996",25,1.76m,left,"Jul 13, 2022","Jun 30, 2027",€50.00m
Robert Lewandowski,Centre-Forward,FC Barcelona,9,"Aug 21, 1988",34,1.85m,right,"Jul 19, 2022","Jun 30, 2026",€45.00m
Memphis Depay,Centre-Forward,FC Barcelona,14,"Feb 13, 1994",28,1.76m,right,"Jul 1, 2021","Jun 30, 2023",€25.00m
Jan Oblak,Goalkeeper,Atlético de Madrid,13,"Jan 7, 1993",29,1.88m,right,"Jul 16, 2014","Jun 30, 2028",€40.00m
